time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-02-24T02:26:27.037Z,53.4339,-165.3329,35,3.8,mb,,208,0.749,0.7,us,us70007vix,2020-02-24T03:04:40.040Z,"83km SSE of Akutan, Alaska",earthquake,2.7,2,0.106,23,reviewed,us,us
2020-02-23T21:22:22.104Z,54.0134,-163.6213,35,2.6,ml,,229,0.815,1.05,us,us70007vgm,2020-02-24T00:44:23.040Z,"94km S of False Pass, Alaska",earthquake,3,2,0.148,6,reviewed,us,us
2020-02-23T16:15:43.716Z,60.9431,-151.242,60.6,3.5,ml,,,,0.67,ak,ak0202hkmzdo,2020-02-24T18:31:11.243Z,"28km N of Nikiski, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2020-02-23T10:28:58.595Z,60.3123,-151.3548,47.7,2.5,ml,,,,0.44,ak,ak0202hh579o,2020-02-23T10:48:23.040Z,"5km SW of Cohoe, Alaska",earthquake,,1.1,,,automatic,ak,ak
2020-02-23T09:12:43.900Z,39.5789986,-120.7139969,-1.85,2.5,md,15,65,0.2773,0.15,nc,nc73344965,2020-02-23T10:47:03.937Z,"21km SW of Whitehawk, CA",earthquake,0.48,2.4,0.18,13,automatic,nc,nc
2020-02-23T02:32:50.743Z,61.7916,-135.3713,11.8,3.4,ml,,,,0.81,ak,ak0202hceko5,2020-02-23T23:21:00.394Z,"117km WSW of Faro, Canada",earthquake,,0.3,,,reviewed,ak,ak
2020-02-22T20:29:33.127Z,19.4189,-155.5864,1.6,2.5,ml,,57,0.037,0.41,us,us70007v0c,2020-02-23T02:10:56.040Z,"26km NNW of Pahala, Hawaii",earthquake,0.8,20.1,0.057,40,reviewed,us,us
2020-02-22T19:14:27.580Z,40.2895,-124.6736667,7.07,4.33,mw,27,286,0.2533,0.16,nc,nc73344735,2020-02-24T18:15:04.690Z,"33km W of Petrolia, CA",earthquake,1.48,0.86,,4,reviewed,nc,nc
2020-02-22T09:20:53.280Z,32.3318333,-115.357,15.79,2.6,ml,27,113,0.09786,0.29,ci,ci39080519,2020-02-22T09:31:57.990Z,"16km W of Delta, B.C., MX",earthquake,0.78,1.28,0.225,25,automatic,ci,ci
2020-02-22T07:24:51.636Z,53.3467,-167.1865,69.06,2.5,ml,,204,0.439,0.21,us,us70007uy2,2020-02-23T08:32:38.040Z,"72km SW of Unalaska, Alaska",earthquake,13.9,25.5,0.128,8,reviewed,us,us
2020-02-22T07:22:49.730Z,35.7756667,-117.622,9.12,2.64,ml,30,58,0.04467,0.15,ci,ci39080439,2020-02-22T07:33:25.720Z,"18km NNE of Ridgecrest, CA",earthquake,0.21,0.56,0.169,25,automatic,ci,ci
2020-02-22T06:09:44.900Z,40.3288345,-124.3304977,6.58,2.88,md,6,282,0.03598,0.08,nc,nc73344490,2020-02-22T08:24:03.133Z,"4km W of Petrolia, CA",earthquake,3.1,1.1,0.04,4,automatic,nc,nc
2020-02-22T04:51:53.489Z,43.132,-126.3821,10,3,ml,,249,1.548,0.63,us,us70007un6,2020-02-22T18:01:48.369Z,"159km WNW of Port Orford, Oregon",earthquake,9.2,2,0.039,86,reviewed,us,us
2020-02-22T02:33:21.730Z,38.762001,-122.7403336,2.04,2.84,md,55,72,0.02169,0.06,nc,nc73344415,2020-02-23T04:17:19.950Z,"2km SE of The Geysers, CA",earthquake,0.15,0.36,0.13,45,automatic,nc,nc
2020-02-22T02:00:01.190Z,31.8928333,-115.583,5.5,2.51,ml,20,137,0.3298,0.42,ci,ci39080239,2020-02-22T05:13:59.040Z,"54km SW of Alberto Oviedo Mota, B.C., MX",earthquake,0.68,31.61,0.163,29,reviewed,ci,ci
2020-02-21T20:46:00.799Z,62.9017,-148.0894,53.3,2.5,ml,,,,0.74,ak,ak0202ec4kqe,2020-02-21T22:08:06.040Z,"68km SSE of Cantwell, Alaska",earthquake,,0.6,,,automatic,ak,ak
2020-02-21T18:39:39.590Z,35.6705,-117.5298333,8.72,3.09,ml,46,60,0.1003,0.13,ci,ci39079791,2020-02-21T23:27:42.110Z,"14km ENE of Ridgecrest, CA",earthquake,0.12,0.35,0.155,242,reviewed,ci,ci
2020-02-21T16:10:53.136Z,61.4394,-150.1226,11.6,2.5,ml,,,,0.86,ak,ak0202e9j8p7,2020-02-21T16:15:36.309Z,"12km SW of Big Lake, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-02-21T13:42:53.410Z,34.5075,-118.6345,18.06,3.52,mw,130,19,0.01866,0.23,ci,ci39079535,2020-02-24T18:41:26.879Z,"2km NNW of Castaic, CA",earthquake,0.14,0.33,,6,reviewed,ci,ci
2020-02-21T08:10:28.790Z,18.8684998,-155.1790009,8.72,3.25,ml,55,260,0.3914,0.21,hv,hv71392772,2020-02-21T22:22:32.229Z,"47km SE of Pahala, Hawaii",earthquake,0.79,0.72,2.89,36,automatic,hv,hv
2020-02-21T01:16:11.070Z,18.8458328,-155.2338409,10.23,2.52,md,27,268,0.3761,0.13,hv,hv71392297,2020-02-21T02:13:29.040Z,"49km SE of Pahala, Hawaii",earthquake,1.23,0.82,0.13,10,automatic,hv,hv
2020-02-20T20:28:24.288Z,47.1873,-113.1134,17.67,2.5,ml,,110,0.146,0.41,us,us70007tuc,2020-02-21T04:30:49.605Z,"28km E of Seeley Lake, Montana",earthquake,1.6,5.4,0.077,22,reviewed,us,us
2020-02-20T14:53:44.520Z,19.2176666,-155.3926697,32.13,2.92,ml,59,153,0.02025,0.13,hv,hv71391722,2020-02-20T15:05:23.040Z,"9km E of Pahala, Hawaii",earthquake,0.48,0.65,3.46,39,automatic,hv,hv
2020-02-20T12:54:28.800Z,19.2106667,-155.389328,33.1,2.71,ml,61,156,0.02779,0.13,hv,hv71391632,2020-02-20T13:00:04.020Z,"9km E of Pahala, Hawaii",earthquake,0.48,0.62,3.37,36,automatic,hv,hv
